0,1,2,3,4
<b>,310,300,110,<e>
<b>,300,999,210,300
<b>,300,110,<e>,<b>
<b>,400,310,310,310
<b>,300,998,110,<e>
<b>,300,110,<e>,<b>
<b>,210,110,110,<e>
<b>,400,110,<e>,<b>
<b>,400,400,400,200
<b>,998,200,110,<e>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,200,110,200,110
<b>,998,110,998,110
<b>,300,110,<e>,<b>
<b>,300,310,110,<e>
<b>,200,210,200,210
<b>,300,110,200,110
<b>,300,110,998,110
<b>,300,200,110,110
<b>,300,110,<e>,<b>
<b>,300,200,300,110
<b>,200,110,<e>,<b>
<b>,210,200,110,200
<b>,200,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,998,200,110,<e>
<b>,400,110,<e>,<b>
<b>,200,110,210,210
<b>,200,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,210,110,<e>
<b>,300,110,110,<e>
<b>,300,310,998,110
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,400,300,210,300
<b>,310,110,200,110
<b>,300,110,<e>,<b>
<b>,210,300,210,300
<b>,300,300,310,110
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,210,110,<e>
<b>,200,110,<e>,<b>
<b>,300,300,110,<e>
<b>,998,110,210,110
<b>,998,998,200,200
<b>,200,110,200,110
<b>,300,210,300,110
<b>,300,110,<e>,<b>
<b>,210,998,110,998
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,200,200
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,200,110,<e>,<b>
<b>,300,200,110,<e>
<b>,200,200,200,200
<b>,300,210,300,200
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,998,110,<e>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,200,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,200,300,110,<e>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,200,300,110
<b>,300,310,110,200
<b>,300,998,110,<e>
<b>,300,300,110,<e>
<b>,300,310,110,<e>
<b>,998,200,200,110
<b>,998,998,200,110
<b>,998,200,110,200
<b>,300,110,<e>,<b>
<b>,300,200,110,<e>
<b>,300,110,<e>,<b>
<b>,300,110,110,<e>
<b>,300,300,300,300
<b>,300,300,300,110
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,998,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,998,110,<e>,<b>
<b>,999,300,210,110
<b>,200,110,<e>,<b>
<b>,998,200,110,<e>
<b>,300,110,<e>,<b>
<b>,998,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,310,310,310,110
<b>,300,210,110,<e>
<b>,300,310,110,<e>
<b>,300,110,<e>,<b>
<b>,998,200,110,<e>
<b>,310,300,998,110
<b>,300,110,<e>,<b>
<b>,998,110,<e>,<b>
<b>,998,110,110,<e>
<b>,300,110,<e>,
<b>,200,300,200,110
<b>,300,200,300,210
<b>,300,210,110,<e>
<b>,300,300,300,110
<b>,300,110,<e>,<b>
<b>,300,210,110,200
<b>,300,110,<e>,<b>
<b>,300,200,210,110
<b>,300,310,200,110
<b>,998,210,210,210
<b>,300,110,<e>,<b>
<b>,210,110,<e>,<b>
<b>,310,110,<e>,<b>
<b>,300,200,200,110
<b>,310,310,310,200
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,998,300,300,300
<b>,300,110,<e>,
<b>,210,210,200,110
<b>,300,110,<e>,<b>
<b>,400,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,998,300,110
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,300,300,300,110
<b>,300,300,110,<e>
<b>,310,110,<e>,<b>
<b>,200,110,<e>,
<b>,310,200,110,<e>
<b>,300,110,<e>,<b>
<b>,200,110,<e>,<b>
<b>,998,200,110,<e>
<b>,300,110,<e>,<b>
<b>,998,110,<e>,<b>
<b>,200,110,<e>,<b>
<b>,200,110,200,110
<b>,998,110,<e>,<b>
<b>,300,210,110,110
<b>,300,300,300,310
<b>,300,110,<e>,<b>
<b>,300,110,<e>,<b>
<b>,998,998,110,<e>
<b>,300,998,999,110
<b>,999,210,999,310
<b>,998,110,<e>,<b>
<b>,310,110,<e>,<b>
<b>,998,300,110,<e>
<b>,300,110,<e>,<b>
<b>,200,110,<e>,<b>
<b>,210,200,110,<e>
<b>,200,110,<e>,<b>
<b>,300,110,<e>,
<b>,210,110,<e>,<b>
